id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26695165,"Luxeden Apartment,32-new,boutique,spacious",198067481,Christine,,Monash,-37.87928,145.16557,Entire home/apt,280,7,7,2020-01-22,0.19,6,66,0,
26695187,Modern Apartment w Garden Terrace - #1 Location,136091380,Fiona,,Moreland,-37.74152,144.96395,Entire home/apt,90,5,62,2021-05-27,1.36,2,0,2,
26696961,Private Room in heart of Dandenong,96803873,Prakhar,,Greater Dandenong,-37.98769,145.22099,Private room,100,1,1,2018-11-16,0.02,1,365,0,
26717070,Kew Townhouse by the Yarra,131673331,Peter,,Boroondara,-37.79413,145.02382,Entire home/apt,115,2,41,2019-03-26,0.91,1,0,0,
26722061,Tecoma Family Home with a View (good for kids),79801761,Kaity,,Yarra Ranges,-37.91811,145.33884,Entire home/apt,165,2,6,2019-04-05,0.15,1,0,0,
26485015,Frankston Peninsula Bay Views Luxury Retreat,199176764,Robyn,,Frankston,-38.15641,145.16321,Private room,113,2,32,2019-07-25,0.72,7,54,0,
26488881,Oakleigh 房好干净,199213741,Jinyu,,Monash,-37.90283,145.09647,Private room,72,3,0,,,1,89,0,
26501587,Summer Flash Sale | 2 Bdrm Apartment★Wi-Fi★Parking,581252,Sally,,Port Phillip,-37.85243,144.97988,Entire home/apt,138,5,85,2022-02-19,1.92,1,153,16,
26502006,Bright and beautiful; modern Elwood apartment,404134,Jasmin,,Port Phillip,-37.88638,144.98707,Entire home/apt,251,3,2,2022-01-02,0.85,1,341,2,
26502389,Flinders Lane - Laneway Studio,30870639,Melbourne City Stays,,Melbourne,-37.8176,144.96678,Entire home/apt,116,7,11,2021-07-19,0.25,1,67,1,
26503815,Beautiful Family Home Townhouse in Ivanhoe,78773077,Leslie,,Banyule,-37.75553,145.05044,Entire home/apt,129,5,2,2018-12-31,0.05,1,0,0,
26506546,delete this,183447510,Sharon,,Port Phillip,-37.86588,144.97669,Private room,100,1,0,,,2,0,0,
26509152,"Port Melbourne, Albert Park , Bay Side Home, city",113634610,Colleen,,Port Phillip,-37.84017,144.94641,Entire home/apt,180,7,3,2020-01-10,0.08,1,179,0,
26510559,Private Room in Carlton minutes from Melb Uni/RMIT,189679922,Sue,,Melbourne,-37.80411,144.96653,Private room,66,3,64,2020-02-17,1.42,6,0,0,
26513120,Deluxe City Loft Apartment,46333372,Nate,,Melbourne,-37.82258,144.96265,Entire home/apt,428,2,30,2020-03-22,0.68,14,0,0,
26526799,Tiny House in the Hills,88078425,Trina,,Yarra Ranges,-37.92042,145.40237,Entire home/apt,154,1,88,2022-03-01,5.44,1,44,60,
26531647,"Spacious, sunny, accessible home in Richmond!",59969696,Elise,,Yarra,-37.8267,145.00552,Entire home/apt,185,2,11,2020-03-15,0.24,1,0,0,
26534405,"Luxeden Apartment,51-new,boutique,spacious",198067481,Christine,,Monash,-37.87928,145.16557,Entire home/apt,280,7,5,2021-05-27,0.11,6,66,1,
26549440,Home#Melb,180637496,Shaung,,Melbourne,-37.79744,144.95168,Private room,60,1,3,2018-10-07,0.07,1,0,0,
26550754,Historic Richmond Workers Cottage,199655705,Adrian,,Yarra,-37.8265,145.01145,Entire home/apt,90,2,39,2019-01-23,0.87,1,0,0,
26554501,Modern 2 bed apartment in trendy Collingwood,279001183,MadeComfy,,Yarra,-37.80543,144.98578,Entire home/apt,224,3,38,2022-02-19,0.86,136,310,8,
26567729,Melbourne and Southbank Gem with 3 Bedrooms,3364488,Dr Fred,,Melbourne,-37.8239,144.96682,Entire home/apt,283,4,72,2022-02-27,1.67,1,223,18,
26571193,Spacious room in the heart of St Kilda,183447510,Sharon,,Port Phillip,-37.86578,144.97684,Private room,55,2,2,2018-08-20,0.04,2,0,0,
26573623,"Luxeden Apartment,21-new,boutique,spacious",198067481,Christine,,Monash,-37.87928,145.16557,Entire home/apt,300,7,0,,,6,127,0,
26573716,Comfy cozy place,69715860,Kai,,Yarra,-37.81006,144.99712,Private room,165,1,0,,,1,363,0,
26574181,Top of Bay St Brighton Apartment,166651302,Warren,,Bayside,-37.90544,145.00813,Entire home/apt,132,1,32,2021-12-16,0.74,2,6,8,
26574367,Melbourne CBD QV best location,199457191,Anna,,Melbourne,-37.81048,144.96537,Private room,50,1,3,2018-10-16,0.07,1,0,0,
26576704,"Luxeden Apartment,31-new,boutique,spacious",198067481,Christine,,Monash,-37.87928,145.16557,Entire home/apt,280,7,11,2021-05-23,0.26,6,66,4,
26588293,High quality close to Aldi+shops+market+bus+train,158671210,Tina,,Greater Dandenong,-37.95996,145.15024,Private room,43,5,18,2022-03-05,0.48,3,58,1,
26610319,Northcote Inner City Apartment Melbourne Victoria,369770,Julia,,Darebin,-37.76847,144.99547,Entire home/apt,100,2,24,2019-11-09,0.54,3,4,0,
26611386,Sutherland Estate - stunning Yarra Valley vineyard,95795747,Cathy,,Yarra Ranges,-37.57653,145.41241,Entire home/apt,194,2,139,2022-02-28,3.18,2,73,28,
26722544,Luxury! Amazing city views + Auto carparking/WiFi,200706565,Amy,,Melbourne,-37.82647,144.95902,Entire home/apt,164,2,6,2018-11-09,0.13,1,0,0,
26722995,3 Bedroom Apartment including Parking,195297416,Playhouse Apartments,,Yarra,-37.80998,145.0083,Entire home/apt,800,1,9,2021-12-31,0.21,1,362,1,
26737535,Private bedroom walking distance from the city,51664112,Sunny,,Melbourne,-37.81202,144.95278,Private room,69,2,2,2018-12-28,0.04,1,0,0,
26750223,Home away from home,6175648,Rosalynn,,Banyule,-37.76965,145.04184,Private room,70,1,1,2018-08-18,0.02,1,268,0,
